Rank,Country/Region,2018,2017,2016
1,Mexico,2184663,2029886,1889354
2,Dominican Republic,644306,637688,601349
3,Peru,504517,466758,455394
4,Indonesia,410094,363157,304938
5,Colombia,326666,314275,294389
6,Brazil,235788,213041,196422
7,Kenya,233933,194279,176045
8,United States,168528,132730,124860
9,Venezuela,139685,133922,130290
10,Israel,131720,110000,101500
11,China,128743,124110,122875
12,South Africa,127568,62840,89440
13,Guatemala,124931,125596,122184
14,Chile,124506,133636,140558
15,Malawi,92239,97358,86769
16,Haiti,90699,97520,93017
17,Spain,89592,92936,91509
18,Cameroon,75221,71235,70140
19,Democratic Republic of the Congo,65773,65558,65535
20,Australia,63486,56501,67600
21,Ethiopia,52389,57120,64982
22,Morocco,51170,41695,42256
23,Sri Lanka,50542,30606,19000
24,Ivory Coast,37983,37307,36349
25,Madagascar,26777,26560,26395
26,New Zealand,25525,23716,24853
27,Philippines,19443,19440,19572
28,El Salvador,18605,11631,10537
29,Ecuador,18232,20995,16118
30,Paraguay,15882,15889,15687
31,Costa Rica,15000,12158,12158
32,Bolivia,12452,12509,12497
33,Republic of the Congo,10031,9747,9507
34,Ghana,9385,9162,9073
35,Lebanon,9383,8946,8801
36,Panama,8834,8385,8195
37,Guyana,8586,587,452
38,Rwanda,8238,6912,9296
39,Central African Republic,7511,10576,8800
40,East Timor,4831,4930,4737
41,Argentina,4154,3960,3940
42,Turkey,3164,2765,1950
43,Cuba,2819,2937,3159
44,France,2518,2115,1906
45,Jamaica,2349,2442,2465
46,Zimbabwe,1766,1748,1800
47,Greece,1640,1515,1528
48,Honduras,1618,1074,1083
49,Grenada,1549,1552,1554
50,French Guiana,1491,900,900
51,Bahamas,1396,1383,1351
52,Samoa,1368,1350,1330
53,Bosnia and Herzegovina,1051,1053,1049
54,Eswatini,954,1017,976
55,Puerto Rico,771,1313,998
56,Barbados,758,763,741
57,Réunion,732,769,741
58,Cyprus,714,885,810
59,Palestine,677,654,638
60,Trinidad and Tobago,644,634,619
61,Martinique,352,389,384
62,Dominica,337,396,403
63,Tunisia,333,328,322
64,Guadeloupe,210,222,222
65,Saint Lucia,160,171,180
66,French Polynesia,119,120,121
67,Cook Islands,35,13,13
68,Cayman Islands,22,21,20
69,Seychelles,13,12,12
